Processing data...
PUT http://localhost:9200/mini_data_train_search/_doc/102 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/103 [status:201 duration:0.058s]
PUT http://localhost:9200/mini_data_train_search/_doc/104 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/105 [status:201 duration:0.039s]
PUT http://localhost:9200/mini_data_train_search/_doc/106 [status:201 duration:0.051s]
PUT http://localhost:9200/mini_data_train_search/_doc/107 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/108 [status:201 duration:0.027s]
PUT http://localhost:9200/mini_data_train_search/_doc/109 [status:201 duration:0.015s]
PUT http://localhost:9200/mini_data_train_search/_doc/110 [status:201 duration:0.058s]
PUT http://localhost:9200/mini_data_train_search/_doc/111 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/112 [status:201 duration:0.052s]
PUT http://localhost:9200/mini_data_train_search/_doc/113 [status:201 duration:0.052s]
PUT http://localhost:9200/mini_data_train_search/_doc/114 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/115 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/116 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/117 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/118 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/119 [status:201 duration:0.050s]
PUT http://localhost:9200/mini_data_train_search/_doc/120 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/121 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/122 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/123 [status:201 duration:0.055s]
PUT http://localhost:9200/mini_data_train_search/_doc/124 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/125 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/126 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/127 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/128 [status:201 duration:0.051s]
PUT http://localhost:9200/mini_data_train_search/_doc/129 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/130 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/131 [status:201 duration:0.055s]
PUT http://localhost:9200/mini_data_train_search/_doc/132 [status:201 duration:0.080s]
PUT http://localhost:9200/mini_data_train_search/_doc/133 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/134 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/135 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/136 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/137 [status:201 duration:0.057s]
PUT http://localhost:9200/mini_data_train_search/_doc/138 [status:201 duration:0.026s]
PUT http://localhost:9200/mini_data_train_search/_doc/139 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/140 [status:201 duration:0.031s]
PUT http://localhost:9200/mini_data_train_search/_doc/141 [status:201 duration:0.009s]
PUT http://localhost:9200/mini_data_train_search/_doc/142 [status:201 duration:0.010s]
PUT http://localhost:9200/mini_data_train_search/_doc/143 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/144 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/145 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/146 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/147 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/148 [status:201 duration:0.049s]
PUT http://localhost:9200/mini_data_train_search/_doc/149 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/150 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/151 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/152 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/153 [status:201 duration:0.055s]
PUT http://localhost:9200/mini_data_train_search/_doc/154 [status:201 duration:0.050s]
PUT http://localhost:9200/mini_data_train_search/_doc/155 [status:201 duration:0.064s]
PUT http://localhost:9200/mini_data_train_search/_doc/156 [status:201 duration:0.056s]
PUT http://localhost:9200/mini_data_train_search/_doc/157 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/158 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/159 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/160 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/161 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/162 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/163 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/164 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/165 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/166 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/167 [status:201 duration:0.055s]
PUT http://localhost:9200/mini_data_train_search/_doc/168 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/169 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/170 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/171 [status:201 duration:0.057s]
PUT http://localhost:9200/mini_data_train_search/_doc/172 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/173 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/174 [status:201 duration:0.020s]
PUT http://localhost:9200/mini_data_train_search/_doc/175 [status:201 duration:0.049s]
PUT http://localhost:9200/mini_data_train_search/_doc/176 [status:201 duration:0.177s]
PUT http://localhost:9200/mini_data_train_search/_doc/177 [status:201 duration:0.052s]
PUT http://localhost:9200/mini_data_train_search/_doc/178 [status:201 duration:0.062s]
PUT http://localhost:9200/mini_data_train_search/_doc/179 [status:201 duration:0.089s]
PUT http://localhost:9200/mini_data_train_search/_doc/180 [status:201 duration:0.057s]
PUT http://localhost:9200/mini_data_train_search/_doc/181 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/182 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/183 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/184 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/185 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/186 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/187 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/188 [status:201 duration:0.028s]
PUT http://localhost:9200/mini_data_train_search/_doc/189 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/190 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/191 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/192 [status:201 duration:0.076s]
PUT http://localhost:9200/mini_data_train_search/_doc/193 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/194 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/195 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/196 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/197 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/198 [status:201 duration:0.056s]
PUT http://localhost:9200/mini_data_train_search/_doc/199 [status:201 duration:0.050s]
PUT http://localhost:9200/mini_data_train_search/_doc/200 [status:201 duration:0.061s]
PUT http://localhost:9200/mini_data_train_search/_doc/201 [status:201 duration:0.061s]
PUT http://localhost:9200/mini_data_train_search/_doc/202 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/203 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/204 [status:201 duration:0.056s]
PUT http://localhost:9200/mini_data_train_search/_doc/205 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/206 [status:201 duration:0.057s]
PUT http://localhost:9200/mini_data_train_search/_doc/207 [status:201 duration:0.051s]
PUT http://localhost:9200/mini_data_train_search/_doc/208 [status:201 duration:0.058s]
PUT http://localhost:9200/mini_data_train_search/_doc/209 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/210 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/211 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/212 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/213 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/214 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/215 [status:201 duration:0.056s]
PUT http://localhost:9200/mini_data_train_search/_doc/216 [status:201 duration:0.052s]
PUT http://localhost:9200/mini_data_train_search/_doc/217 [status:201 duration:0.140s]
PUT http://localhost:9200/mini_data_train_search/_doc/218 [status:201 duration:0.261s]
PUT http://localhost:9200/mini_data_train_search/_doc/219 [status:201 duration:0.091s]
PUT http://localhost:9200/mini_data_train_search/_doc/220 [status:201 duration:0.037s]
PUT http://localhost:9200/mini_data_train_search/_doc/221 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/222 [status:201 duration:0.034s]
PUT http://localhost:9200/mini_data_train_search/_doc/223 [status:201 duration:0.055s]
PUT http://localhost:9200/mini_data_train_search/_doc/224 [status:201 duration:0.039s]
PUT http://localhost:9200/mini_data_train_search/_doc/225 [status:201 duration:0.039s]
PUT http://localhost:9200/mini_data_train_search/_doc/226 [status:201 duration:0.026s]
PUT http://localhost:9200/mini_data_train_search/_doc/227 [status:201 duration:0.028s]
PUT http://localhost:9200/mini_data_train_search/_doc/228 [status:201 duration:0.037s]
PUT http://localhost:9200/mini_data_train_search/_doc/229 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/230 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/231 [status:201 duration:0.028s]
